button_or_action,data-testid,label,section,function_called,api_called,state_changed,validation_triggered,side_effects,downstream_impact,failure_behavior,mobile_behavior,recommendation
JobPicker (dropdown+search),—,MASCI Job,01_report_info,applyJob(job),—,project_name/project_number/location/superintendent + smart-prefill fetch,—,Smart Prefill offer card / superintendent auto-fill,Populates recent-context Smart Prefill,Toast only when successful; API 404 silent,Same combobox on mobile,KEEP
Use GPS,use-gps-btn,Use GPS,01_report_info,useGps,browser navigator.geolocation + reverseGeocode + fetchDailyWeather,gps_lat/lng/accuracy/location/weather_snapshots/weather_summary,—,GPS lock → weather fetch (best-effort),Location + weather flow to PM/PDF/AI,Toast error; user can type manually,44px tap target · working,KEEP
Report date,input-report-date,Date,01_report_info,useEffect→GET /daily-reports/next-number,—,report_number,—,Refreshes DR-YYYY-NNNNN preview,—,Silent — field stays editable,mobile-friendly date picker,KEEP
Report #,input-report-number,Report #,01_report_info,onChange set,—,report_number,—,Server rewrites to canonical doc_id on insert (bug-hardened Track 22.4b),—,User can edit but server overwrites,—,MAKE READ-ONLY (see UX #1)
Prepared By combobox,prepared-by,Prepared By *,01_report_info,FlUserCombo pick,GET /fl-users,prepared_by,non-empty,—,PM/HR routing + prepared_by_identity resolution,Silent lookup,—,KEEP
Superintendent combobox,superintendent,Superintendent,01_report_info,FlUserCombo pick,GET /fl-users,superintendent,—,Superintendent auto-suggested from jobs_master or prior DR,—,Silent — free-text OK,—,KEEP
Refresh Weather,refresh-weather-btn,Refresh Weather,02_weather,refreshWeather,fetchDailyWeather (openmeteo),weather_snapshots/weather_summary,—,—,—,Toast on fail,working,KEEP
YesNo (schedule_delays),schedule-delays,Delays / Extra Work Today?,03_general,onChange,—,schedule_delays,—,Auto-expand + scroll to Delays card,—,—,working,MERGE (Rec #3)
YesNo (weather_impact),weather-impact,Weather Impact?,03_general,onChange,—,weather_impact,—,Auto-expand + scroll to Delays card,—,—,working,MERGE (Rec #3)
YesNo (safety_incidents_today),safety-incidents,Any Accidents on Site?,03_general,onChange,—,safety_incidents_today,—,Reveals safety-escalation block,Safety notified/dispatch,—,—,KEEP
YesNo (injuries_reported),injuries-reported,Any Injuries Reported?,03_general,onChange,—,injuries_reported,—,Reveals safety-escalation block,Same,—,—,KEEP
Open Incident Report Form (link),open-incident-form-link,Open Incident Report Form,03_general (stop-the-line),navigate to /incidents/report,—,—,—,Opens Incident form in new tab,—,—,link only,KEEP
YesNo (excavation_activity_today),—,Excavation Activity Today?,03_general_excavation,DailyReportExcavationActivity onChange,—,excavation_activity_today/linked_excavation_ids,server 422 gate,Excavation records linked,Trench safety compliance,Backend 422 if unlinked,working,KEEP
Presence gate Yes/No (crews/subs/visitors/equipment/materials_in/materials_out/delays),presence-{key}-{yes|no|change|prompt},progressive disclosure,04–11,setPresence,—,presence[key],—,Reveals or hides body,—,—,working,KEEP
Add Crew Member,crew-add,Add Crew Member,04_crews,crews.add,—,masci_crews[],—,—,—,—,working,KEEP
Reset hours (per row when prefilled),crew-reset-hours-{i},Reset hours,04_crews,crews.patch,—,row.start_time/stop_time/lunch_minutes/hours,—,Clears prefilled clock,—,—,visible only when _prefilled=true,KEEP
Remove crew row,crew-remove-{i},Remove,04_crews,crews.remove,—,masci_crews[i] removed,—,—,—,—,working,KEEP
Add / Remove row (all repeat sections),{testIdBase}-add / -remove-{i},Add/Remove,04–11,useList.add/remove,—,list mutation,—,—,—,—,working,KEEP
Smart Prefill Apply,daily-report-smart-prefill-apply,Apply prefill,offer card,onApplySmartPrefill,—,masci_crews/equipment + prefillNotice,—,Hydrates crew+equipment from prior DR,PM sees continuity,Silent 404,working,KEEP
Smart Prefill Dismiss,daily-report-smart-prefill-dismiss,No thanks,offer card,onDismissSmartPrefill,—,smartPrefillOffer=null,—,Session-scoped dismiss,—,—,working,KEEP
Crew setup restore prompt,daily-report-crew-setup-prompt-{use/change/blank/clear/rename},Use setup / Change project / Start blank / Clear,pre-form,onUseCrewSetup/etc,—,data or crewSetup,—,Repopulates crew+equipment from device-local memory,—,confirm() dialog on project mismatch,working,KEEP
Draft restore prompt,daily-report-draft-restore-prompt (Restore/Discard),Restore / Discard,pre-form,onRestoreDraft / onDiscardDraft,—,data or IDB,—,Restores draft from IDB,—,Toast,working,KEEP
Draft recovery notice (soft-deleted),daily-report-draft-recovery,Bring it back / Dismiss,pre-form,onRecoverArchive,GET /drafts/archive,data,—,Recovers 24h archive,—,—,working,KEEP
Constraint chip grid,constraint-chip-{key},+ Weather / +Utility / …,11_delays,cons.add,—,constraints[],—,Inserts row of that type,—,—,working,KEEP
Photo Upload,PhotoUpload buttons,Add photo / Remove photo,12_photos,PhotoUpload onChange,POST /api/dr/photos/upload (per photo),photos[],photo_min gate,R2 upload · photo intel enqueue on submit,—,Toast on failure,camera + gallery,KEEP
Attachment Upload (PDF/Excel),daily-attachments-*,Add attachment,12_photos,AttachmentUpload,POST /api/daily-reports/attachments/upload,attachments[],—,R2 upload,PM/PDF/Email include,Toast on failure,working,KEEP
DailySummaryAssist Generate/Regenerate/Accept/Edit/Ignore,dr-daily-summary-assist-*,AI assist,15_ai,POST /api/ai/dr/summary + accept,—,ai_accepted_summary/ai_accepted_summary_meta,—,ODS day_summary_fact ingest on accept,PM/PDF/Email consume accepted text,Deterministic fallback if AI unavailable,working,KEEP
Distribution List add/remove,daily-dist-*,Distribution List,16_signoff,DistributionList onChange,—,distribution_list[],email regex,—,PM CC on email,—,working,KEEP
Signature pad,prepared-by-sig,Prepared By Signature *,16_signoff,SignaturePad onChange,—,prepared_by_signature,non-empty,—,PDF/PM/Safety/HR consume,—,touch + mouse,KEEP
Submit (top),submit-top-btn,Submit,header,submit,POST /api/daily-reports,payload,validate() runs,IDB commit · Trust Spine open · email · ODS · photo intel enqueue,All downstream,friendlyError toast (7s),44px working,KEEP
Submit (bottom),submit-bottom-btn,Submit Daily Report,footer,submit,same,same,same,same,same,same,working,KEEP
Submit (sticky footer),submit-sticky-btn,Submit Daily Report,sticky footer,submit,same,same,same,same,same,same,mobile-critical,KEEP
LangToggle EN/ES,—,EN/ES,header,setLang,—,i18n,—,Payload translated to English before POST,—,—,working,KEEP
CompletenessChip,daily-report-completeness-chip,readout,header,derived,—,—,—,—,—,silent,working,KEEP
DraftStatusPill,daily-report-draft-pill,readout,header,useFormDraft,IDB,—,—,—,—,silent,working,KEEP
Quota Warning Chip,daily-report-quota-chip,readout,header,IDB pressure,—,—,—,—,—,silent,working,KEEP
Support ID Affordance,daily-report-support-id,readout,header,uuid,—,—,—,—,—,silent,working,KEEP
Back / Home,back-link,Home,header,react-router,—,—,—,—,—,—,44px working,KEEP
CollapseCard headers (all sections),dr-*,expand/collapse,04–11,internal,—,—,—,—,—,—,working,KEEP
Change answer (presence gate),presence-{key}-change,Change,04–11,setPresence(null),—,presence[key]=null,—,Re-opens Yes/No prompt,—,—,working,KEEP
Additional context (details/summary),dr-narrative-additional-context,Additional context (rarely needed),03_narrative,details toggle,—,—,—,—,—,—,working,DEFER — Rec #6
