layer,authority_object,canonical_truth,write_authority,read_surfaces,evidence,status
baseline_schedule,approved_original_commitment,project_schedule_versions.baseline_version_id,governed PM schedule activation only,"/pm/project-controls/schedule,/admin/governance/project-controls/schedule","backend/services/project_schedule_authority.py; backend/routes/enterprise_governance.py","ACTIVE"
current_schedule,approved_working_plan,active project_schedule_versions row,governed PM schedule activation and import-row approval,"/pm/project-controls/schedule,/api/pm/project-controls/projects/{project_number}/schedule/*","backend/services/project_schedule_authority.py","ACTIVE"
forecast_schedule,derived_expected_outcome,separate derived view from approved actuals + remaining duration,no direct manual write; recomputed from PM-approved actuals,"/pm/project-controls/schedule forecast section; export kind forecast_schedule_csv","backend/services/project_schedule_actuals_spine.py::build_schedule_forecast_view","ACTIVE"
rolling_lookahead,short-horizon overlay,project_lookahead registry,PM save only; never overwrites baseline/current,"/api/pm/project-controls/projects/{project_number}/schedule/lookahead","backend/services/project_controls_authority.py; backend/services/project_schedule_authority.py","ACTIVE"
daily_work_plan,day-of-execution overlay,project_daily_work_plans,PM save/publish only,"/api/pm/project-controls/projects/{project_number}/schedule/daily-work-plan; PM schedule page","backend/services/project_schedule_actuals_spine.py::get_daily_work_plan/save_daily_work_plan","ACTIVE"
daily_report_work_blocks,field fact package,daily_reports.work_blocks + project_controls_work_ledger,Daily Report submit / governed work-block derivation,"/api/daily-reports; Daily Report detail","backend/routes/daily_reports.py; backend/services/project_controls_authority.py","ACTIVE"
schedule_actual_candidates,review-only candidate lane,project_schedule_actual_candidates,system-generated from Daily Reports; PM review required before approval,"/api/pm/project-controls/projects/{project_number}/schedule/actuals/*","backend/services/project_schedule_actuals_spine.py::sync_schedule_actual_candidates_for_report","ACTIVE"
approved_schedule_actuals,governed schedule actual state,project_schedule_actual_candidates.approved_actual + schedule_activities.actual_state,PM actual review only,"PM actuals review tab; forecast export; Daily Report detail summary","backend/services/project_schedule_actuals_spine.py::review_schedule_actual_candidate","ACTIVE"
equipment_identity,equipment registry,equipment_master,no C5 writes; linkage by existing registry only,"Daily Report actual candidates; PM/admin read surfaces","backend/services/project_schedule_actuals_spine.py::_resolve_equipment_row","REUSED"
vendor_subcontractor_identity,supplier registry,suppliers,no C5 writes; linkage by existing registry only,"Daily Report actual candidates; PM/admin read surfaces","backend/services/project_schedule_actuals_spine.py::_resolve_supplier_row","REUSED"
material_delivery,delivered material facts,daily_reports.materials,Daily Report submit only,"Daily Report detail; PM actual candidate material flow","backend/services/project_schedule_actuals_spine.py::_material_flow","ACTIVE"
material_installation,installed/consumed material facts,explicit material flow rows only,PM review only if explicitly preserved; otherwise review item,no automatic write,"backend/services/project_schedule_actuals_spine.py::_material_flow","GOVERNED_REVIEW"
constraints,constraint truth,existing operational constraints authority,existing constraint authority only; C5 references but does not replace,"Daily Report work blocks; PM review queue","backend/routes/operational_constraints.py; backend/services/project_schedule_authority.py review queue","REUSED"
