trench_field,collection,is_project_linked_today,project_linkage_rule,target_ods_fact,pm_kpi_consumer,safety_kpi_consumer,pdf_email_surface,notes
project_number,trench_excavations,YES (explicit),already stored,excavation_day_fact.project_number,production/safety cross-signal,LIVE per project,PDF excavation section (23.10-E),already project-aware · V1-DR origin
date_of_work,trench_excavations,YES,already stored,excavation_day_fact.date,daily_trend,daily_trend,PDF section header,-
competent_person_name,trench_excavations,YES (via project_number of row),already stored,excavation_day_fact.competent_person_name_snapshot,-,safety.competent_person_coverage,PDF section,legacy free-text · preserved for audit
competent_person_confirmed (bool),trench_excavations,YES,already stored,excavation_day_fact.competent_person_confirmed,-,safety.competent_person_coverage,PDF section,legacy Yes/No self-report; NOT the new cert-gated picker
depth_ft,trench_excavations,YES,already stored,excavation_day_fact.max_depth,-,safety.max_depth_observed_ft,PDF section,-
depth_ge_4ft,trench_excavations,YES,already stored,excavation_day_fact.depth_ge_4ft,-,safety.protective_system_required_count,PDF section,-
crew,trench_excavations,YES,already stored,excavation_day_fact.crew,-,scheduling.crew_signal_available,PDF section,-
assigned_asset_ids,trench_excavations,YES,already stored,excavation_day_fact.trench_box_ids[],-,safety.trench_box_usage,PDF section,-
protective_system (planned V3),excavation_trench (23.10-E),YES,DR project_number,excavation_day_fact.protective_system,-,safety.protective_system_usage[],PDF section,new in 23.10-E
utilities_status (planned V3),excavation_trench (23.10-E),YES,DR project_number,excavation_day_fact.utilities_status,-,safety.utilities_encountered_count,email if damage_strike,new in 23.10-E
tomorrow_planned (planned V3),excavation_trench (23.10-E),YES,DR project_number,excavation_day_fact.tomorrow_planned,-,scheduling.excavation_planned_tomorrow,-,new in 23.10-E
asset_id,trench_safety_holds,NO (asset-scoped),resolve via deployment at opened_at (linker §5.4),trench_hold_fact.project_number,-,LIVE if high-confidence · PARTIAL otherwise,-,operator issue reported
kind (safety_hold_type),trench_safety_holds,NO,inherit from asset,trench_hold_fact.kind,-,safety.by_hold_kind[],-,-
is_active,trench_safety_holds,NO,-,trench_hold_fact.is_active,-,safety.open_trench_holds,-,-
opened_at / cleared_at,trench_safety_holds,NO,-,trench_hold_fact.opened_at / cleared_at,-,timeline,-,-
source_ref,trench_safety_holds,NO,recurse to parent record for project linkage,trench_hold_fact.source_ref,-,cross-link,-,-
asset_id (inspections),trench_safety_inspections,NO (asset-scoped),resolve via deployment at submitted_at,trench_inspection_fact.project_number,-,LIVE if linkable,-,-
inspection_type,trench_safety_inspections,NO,inherit,trench_inspection_fact.inspection_type,-,safety.inspection_by_type,-,-
result,trench_safety_inspections,NO,inherit,trench_inspection_fact.result,-,safety.inspection_pass_fail,-,-
competent_person_confirmed (insp),trench_safety_inspections,NO,inherit,trench_inspection_fact.competent_person_confirmed,-,safety.competent_person_coverage,-,-
asset_id (repairs),trench_safety_repairs,NO,resolve via deployment at opened_at,trench_repair_fact.project_number,-,LIVE if linkable,-,-
status,trench_safety_repairs,NO,inherit,trench_repair_fact.status,-,safety.trench_repair_open_count,-,-
verified_at,trench_safety_repairs,NO,inherit,trench_repair_fact.verified_at,-,safety.trench_safe_to_use_verified_count,-,B-04 invariant · MUST NOT be null for safe_to_use
requires_reinspection / reinspection_passed,trench_safety_repairs,NO,inherit,trench_repair_fact.reinspection_passed,-,safety.trench_safe_to_use_verified_count,-,B-04 invariant · safe_to_use = verified_at AND reinspection_passed
project_id / project_name (deployments),trench_safety_deployments,YES (explicit),already stored,-,-,PRIMARY LINK TABLE for resolver §5 rung 4,-,-
assigned_at / returned_at,trench_safety_deployments,YES,already stored,-,-,active-deployment window for linker,-,-
current_project_id/name/number (assets),trench_safety_assets,YES (per active deployment),already stored,-,-,linker rung 5 fallback,-,low confidence only
certification_type,safety_training_records,n/a (employee-scoped),-,competent_person_certification_fact,-,safety.active_competent_persons_count,-,extended by 23.10-B
expiration_date,safety_training_records,n/a,-,competent_person_expiration_fact.days_left,-,safety.expiring_within_30d,-,daily emitter
verification_status,safety_training_records,n/a,-,competent_person_certification_fact.verification_status,-,registry query,-,active/expired/suspended/revoked
