Permanent surface ID,Portal/family,Route or launch point,Parent route,Surface type,Active/hidden/detail/public/external state,Current visual generation,Current shell,Current header,Current sidebar/navigation,Current background,Current component family,Current icon family,Current terminology,Current coaching,Current footer,Current mobile state,Current functional status,Current runtime errors,WP-17B disposition,Required migration action,Required functional repair,Target canonical components,Files affected,Dependencies,Status,Evidence,Final certification
ROUTE-0001,public_shared,/,/,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,Hub,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,REPRESENTATIVE_IMPLEMENTATION,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0002,public_shared,/revise/:token,/revise,detail_route,DETAIL,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,Revise,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,KEEP_HIDDEN_DETAIL,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_DETAIL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0003,public_shared,/safety,/,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,SafetySection,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0004,safety,/safety/forms/login,/safety/forms,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,SafetyFormsLogin,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0005,safety,/safety/forms,/safety,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,SafetyFormsHub,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0006,safety,/safety/forms/equipment-issuance/new,/safety/forms/equipment-issuance,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,NewSafetyEquipmentIssuance,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0007,safety,/safety/forms/equipment-issuance/:id,/safety/forms/equipment-issuance,detail_route,DETAIL,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,ViewSafetyForm,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,KEEP_HIDDEN_DETAIL,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_DETAIL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0008,safety,/safety/forms/equipment-issuance/:id/return,/safety/forms/equipment-issuance/:id,detail_route,DETAIL,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,ReturnEquipment,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,KEEP_HIDDEN_DETAIL,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_DETAIL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0009,safety,/safety/forms/equipment-training/new,/safety/forms/equipment-training,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,NewSafetyEquipmentTraining,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0010,safety,/safety/forms/equipment-training/:id,/safety/forms/equipment-training,detail_route,DETAIL,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,ViewSafetyForm,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,KEEP_HIDDEN_DETAIL,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_DETAIL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
