defect_id,severity,file,description,fix,test,status
IDEM-COV-02,P1,backend/routes/safety.py :: create_inspection,`POST /api/inspections` had no idempotency protection. Concurrent same-key retries could create duplicate inspection rows + duplicate Trust Spine record_created events + duplicate safety/PM notification fanout.,Wrapped create_inspection body in `_do_create` and called `with_idempotency(db · key · {\"role\":\"public\"} · _do_create · workflow=\"inspection\")`.,test_inspections_concurrent_same_key_one_record · test_inspections_distinct_keys_produce_distinct_records,CLOSED
IDEM-COV-05,P1,backend/routes/equipment.py :: create_equipment_inspection,`POST /api/equipment-inspections` (Pre-Op / DVIR) had no idempotency protection. Concurrent same-key retries could create duplicate inspections and (on fail) duplicate Maintenance Holds.,Wrapped create_equipment_inspection body in `_do_create` and called `with_idempotency(db · key · {\"role\":\"public\"} · _do_create · workflow=\"equipment_inspection\")`. Workflow bucket distinguishes preop from dvir at the Trust Spine layer already; the reservation-lock scopes at equipment_inspection level.,test_equipment_inspections_concurrent_same_key_one_record,CLOSED
IDEM-COV-03,P2,backend/routes/safety.py :: create_jha,`POST /api/jhas` had no idempotency protection.,Wrapped create_jha body in `_do_create` and called `with_idempotency(db · key · {\"role\":\"public\"} · _do_create · workflow=\"jha\")`.,test_jhas_concurrent_same_key_one_record,CLOSED
IDEM-COV-04,P2,backend/routes/qaqc.py :: create_qaqc,`POST /api/qaqc-inspections` had no idempotency protection. Concurrent same-key retries could create duplicate QA/QC records + duplicate PM/safety fan-out on fail rows.,Wrapped create_qaqc body in `_do_create` and called `with_idempotency(db · key · {\"role\":\"public\"} · _do_create · workflow=\"qaqc\")`.,test_qaqc_concurrent_same_key_one_record,CLOSED
IDEM-COV-06,P2,backend/routes/employee_requests.py,HR request POSTs have no idempotency protection.,DEFERRED. Blocked pending HR PVI trace track (B-01) which will exercise the write path with real actors and expose the canonical submit shape.,,OPEN (P2 · deferred to Track 22.4b-followup-HR)
IDEM-COV-07-repairs,P2,backend/routes/trench_safety/repairs.py,Trench repair POST has no idempotency protection.,DEFERRED. Safety-gated · operator-initiated. State-transition semantics (409 on invalid transitions) reduce duplicate risk. Existing B-04 lifecycle invariants must be preserved.,,OPEN (P2 · deferred)
IDEM-COV-07-holds,P2,backend/routes/trench_safety/holds.py,Trench hold POST has no idempotency protection.,DEFERRED. Safety-gated · low concurrency risk.,,OPEN (P2 · deferred)
IDEM-COV-07-inspections,P2,backend/routes/trench_safety/inspections.py,Trench inspection POST has no idempotency protection.,DEFERRED. Safety-gated · needs targeted regression before wrapping.,,OPEN (P2 · deferred)
IDEM-COV-08,P2,backend/routes/dispatch_lifecycle.py,Dispatch assignment POSTs have no idempotency protection. Handler is >1400 LOC with SMS + Motive read side effects.,DEFERRED. Requires targeted concurrency track; unsafe to refactor in this pass. Motive read-only path must remain untouched.,,OPEN (P2 · deferred to Track 22.4b-followup-Dispatch)
IDEM-COV-SHOP,P2,backend/routes/shop*.py,Shop defect POSTs have no idempotency protection.,DEFERRED. Needs a dedicated audit to identify canonical write path.,,OPEN (P2 · deferred)
