form_or_workflow,uses_beforeunload,uses_useBlocker,uses_router_prompt,uses_window_confirm,dirty_state_tracking,autosave,session_modal_source,post_fix_status
Daily Report,silent-flush-to-IDB (useFormDraft),no,no,no,no,yes (useFormDraft),SessionStatusOverlay (global),CLEAR
Equipment Pre-Op,silent-flush-to-IDB (useFormDraft),no,no,no,no,yes (useFormDraft),SessionStatusOverlay (global),CLEAR
DVIR,silent-flush-to-IDB (useFormDraft),no,no,no,no,yes (useFormDraft),SessionStatusOverlay (global),CLEAR
Safety Meeting,silent-flush-to-IDB (useFormDraft),no,no,no,no,yes (useFormDraft),SessionStatusOverlay (global),CLEAR
JHA/JHP,silent-flush-to-IDB (useFormDraft),no,no,no,no,yes (useFormDraft),SessionStatusOverlay (global),CLEAR
QA/QC,silent-flush-to-IDB (useFormDraft),no,no,no,no,yes (useFormDraft),SessionStatusOverlay (global),CLEAR
Incident,silent-flush-to-IDB (useFormDraft),no,no,no,no,yes (useFormDraft),SessionStatusOverlay (global),CLEAR
CAPA (Recovery Action),silent-flush-to-IDB (useFormDraft),no,no,no,no,yes (useFormDraft),SessionStatusOverlay (global),CLEAR
Trench Safety inspection,no,no,no,no,no,client-only,SessionStatusOverlay (global),CLEAR
HR Request,no,no,no,no,no,client-only,SessionStatusOverlay (global),CLEAR
Dispatch Assignment drawer,no,no,no,no,uses DraftRestorePrompt (voluntary),yes (useFormDraft),SessionStatusOverlay (global),CLEAR
Roll-Off assignment,no,no,no,no,no,client-only,SessionStatusOverlay (global),CLEAR
Shop Defect forms,no,no,no,no,no,client-only,SessionStatusOverlay (global),CLEAR
Field Leadership forms,no,no,no,no,no,client-only,SessionStatusOverlay (global),CLEAR
Public / Anonymous forms,no,no,no,no,no,client-only,SessionStatusOverlay (global),CLEAR
Admin configuration forms,no,no,no,no,no,client-only,SessionStatusOverlay (global),CLEAR
