loc,route,label,disposition,concept_or_reason,owner
frontend/src/components/ActivityFeed.jsx:53,ActivityFeed,activity-loading,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/ActivityFeed.jsx:61,ActivityFeed,activity-empty,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminAccessControlPanel.jsx:280,AdminAccessControlPanel,access-control-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminAccessControlPanel.jsx:301,AdminAccessControlPanel,acc-add-user-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminAccessControlPanel.jsx:505,AdminAccessControlPanel,acc-create-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminAccessControlPanel.jsx:650,AdminAccessControlPanel,acc-create-cancel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminAccessControlPanel.jsx:658,AdminAccessControlPanel,acc-create-submit,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminAccessStatsTile.jsx:86,AdminAccessStatsTile,admin-access-stats-error,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBackupVerificationPanel.jsx:125,AdminBackupVerificationPanel,backup-verification-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBackupVerificationPanel.jsx:150,AdminBackupVerificationPanel,backup-verification-ots-wrapper,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBackupVerificationPanel.jsx:158,AdminBackupVerificationPanel,backup-verification-ots-disclosure,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBackupVerificationPanel.jsx:212,AdminBackupVerificationPanel,bv-preview-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBackupVerificationPanel.jsx:221,AdminBackupVerificationPanel,bv-run-now-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBannersPanel.jsx:175,AdminBannersPanel,banner-compose-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBannersPanel.jsx:246,AdminBannersPanel,banner-translate-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBannersPanel.jsx:350,AdminBannersPanel,banner-save-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBannersPanel.jsx:424,AdminBannersPanel,admin-banners-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBannersPanel.jsx:436,AdminBannersPanel,banner-new-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminBannersPanel.jsx:454,AdminBannersPanel,banner-archive-toggle,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminDispatchUsersPanel.jsx:173,AdminDispatchUsersPanel,admin-dispatch-users-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminDispatchUsersPanel.jsx:195,AdminDispatchUsersPanel,admin-dispatch-users-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminDispatchUsersPanel.jsx:212,AdminDispatchUsersPanel,admin-dispatch-add-submit,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminDocIdSearch.jsx:67,AdminDocIdSearch,admin-doc-id-search,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminDocIdSearch.jsx:79,AdminDocIdSearch,admin-doc-id-search-input,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminDocIdSearch.jsx:86,AdminDocIdSearch,admin-doc-id-search-submit,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminEmailRoutingPanel.jsx:155,AdminEmailRoutingPanel,admin-email-routing-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminEmailRoutingPanel.jsx:294,AdminEmailRoutingPanel,routing-test-input,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminFieldLeadershipUsersPanel.jsx:188,AdminFieldLeadershipUsersPanel,admin-field-leadership-users-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminFieldLeadershipUsersPanel.jsx:213,AdminFieldLeadershipUsersPanel,admin-field-leadership-users-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminFieldLeadershipUsersPanel.jsx:252,AdminFieldLeadershipUsersPanel,admin-hr-add-submit,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminFieldLeadershipUsersPanel.jsx:420,AdminFieldLeadershipUsersPanel,admin-hr-pw-cancel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminGlobalSearch.jsx:54,AdminGlobalSearch,admin-global-search,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminGlobalSearch.jsx:63,AdminGlobalSearch,admin-search-input,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminGlobalSearch.jsx:80,AdminGlobalSearch,admin-search-dropdown,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminGlobalSearch.jsx:85,AdminGlobalSearch,admin-search-empty,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminHRUsersPanel.jsx:179,AdminHRUsersPanel,admin-hr-users-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminHRUsersPanel.jsx:204,AdminHRUsersPanel,admin-hr-users-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminHRUsersPanel.jsx:222,AdminHRUsersPanel,admin-hr-add-submit,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminHRUsersPanel.jsx:390,AdminHRUsersPanel,admin-hr-pw-cancel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:294,AdminJobMasterPanel,admin-job-master-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:307,AdminJobMasterPanel,job-master-population-caption,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:320,AdminJobMasterPanel,job-master-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:334,AdminJobMasterPanel,job-master-export-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:431,AdminJobMasterPanel,job-master-add-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:445,AdminJobMasterPanel,job-master-tabs,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:706,AdminJobMasterPanel,job-master-bulk-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:759,AdminJobMasterPanel,co-pm-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:826,AdminJobMasterPanel,co-pm-cancel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminJobMasterPanel.jsx:834,AdminJobMasterPanel,co-pm-save,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:333,AdminPMPanel,admin-pm-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:358,AdminPMPanel,pm-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:416,AdminPMPanel,pm-add-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:688,AdminPMPanel,pm-set-password-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:738,AdminPMPanel,pm-set-password-custom-input,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:748,AdminPMPanel,pm-set-password-cancel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:774,AdminPMPanel,pm-set-password-welcome-pdf,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:829,AdminPMPanel,pm-issued-password-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:857,AdminPMPanel,pm-issued-password-copy,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminPMPanel.jsx:864,AdminPMPanel,pm-issued-password-close,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminReferenceLookup.jsx:68,AdminReferenceLookup,admin-lookup-input,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminReferenceLookup.jsx:78,AdminReferenceLookup,admin-lookup-submit,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminReferenceLookup.jsx:89,AdminReferenceLookup,admin-lookup-error,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminSafetyFormsPanel.jsx:116,AdminSafetyFormsPanel,admin-safety-forms-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminSafetyUsersPanel.jsx:179,AdminSafetyUsersPanel,admin-safety-users-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminSafetyUsersPanel.jsx:201,AdminSafetyUsersPanel,admin-safety-users-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminSafetyUsersPanel.jsx:218,AdminSafetyUsersPanel,admin-safety-add-submit,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminSafetyUsersPanel.jsx:386,AdminSafetyUsersPanel,admin-safety-pw-cancel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminShopUsersPanel.jsx:221,AdminShopUsersPanel,admin-shop-users-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminShopUsersPanel.jsx:245,AdminShopUsersPanel,admin-shop-users-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminShopUsersPanel.jsx:263,AdminShopUsersPanel,admin-shop-add-submit,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminShopUsersPanel.jsx:433,AdminShopUsersPanel,admin-shop-set-password-custom-input,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminShopUsersPanel.jsx:442,AdminShopUsersPanel,admin-shop-pw-choice-cancel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminSignatureMigrationPanel.jsx:81,AdminSignatureMigrationPanel,admin-signature-migration-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminSignatureMigrationPanel.jsx:100,AdminSignatureMigrationPanel,sig-mig-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminTrainingResourcesPanel.jsx:41,AdminTrainingResourcesPanel,admin-training-resources-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminUnifiedDirectoryPanel.jsx:129,AdminUnifiedDirectoryPanel,unified-directory-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminUnifiedDirectoryPanel.jsx:183,AdminUnifiedDirectoryPanel,udp-search-input,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminUnifiedDirectoryPanel.jsx:191,AdminUnifiedDirectoryPanel,udp-search-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminUnifiedDirectoryPanel.jsx:203,AdminUnifiedDirectoryPanel,udp-portal-filter,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminUnifiedDirectoryPanel.jsx:221,AdminUnifiedDirectoryPanel,udp-source-filter,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminUnifiedDirectoryPanel.jsx:236,AdminUnifiedDirectoryPanel,udp-loading,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AdminUnifiedDirectoryPanel.jsx:243,AdminUnifiedDirectoryPanel,udp-empty,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AssetHistoryTimeline.jsx:72,AssetHistoryTimeline,asset-history-loading,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AssetHistoryTimeline.jsx:81,AssetHistoryTimeline,asset-history-error,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AssetHistoryTimeline.jsx:116,AssetHistoryTimeline,asset-history-empty,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AttendeeBulkAddDialog.jsx:167,AttendeeBulkAddDialog,attendee-bulk-add-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AttendeeBulkAddDialog.jsx:185,AttendeeBulkAddDialog,attendee-bulk-add-search,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AttendeeBulkAddDialog.jsx:225,AttendeeBulkAddDialog,attendee-bulk-add-empty,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AttendeeBulkAddDialog.jsx:282,AttendeeBulkAddDialog,attendee-bulk-add-cancel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AttendeeBulkAddDialog.jsx:291,AttendeeBulkAddDialog,attendee-bulk-add-submit,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AutoEmailRoutingPanel.jsx:36,AutoEmailRoutingPanel,auto-email-routing-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/AutoEmailRoutingPanel.jsx:90,AutoEmailRoutingPanel,auto-email-status-badge,CANONICAL_STATUS,status,Wave-2 status vocab (TC-0002)
frontend/src/components/BackendStatusBanner.jsx:124,BackendStatusBanner,backend-status-banner,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BackendVersionBadge.jsx:50,BackendVersionBadge,backend-version-badge-loading,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BackupHeroPanel.jsx:109,BackupHeroPanel,backup-hero-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BackupHeroPanel.jsx:131,BackupHeroPanel,hero-backup-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BackupHeroPanel.jsx:160,BackupHeroPanel,hero-restore-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BackupHeroPanel.jsx:190,BackupHeroPanel,hero-restore-file-input,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BackupHeroPanel.jsx:200,BackupHeroPanel,hero-restore-confirm-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BackupHeroPanel.jsx:217,BackupHeroPanel,hero-restore-confirm-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BannerAuditDialog.jsx:151,BannerAuditDialog,banner-audit-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BannerAuditDialog.jsx:179,BannerAuditDialog,banner-audit-pdf-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BannerAuditDialog.jsx:195,BannerAuditDialog,banner-audit-csv-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BannerAuditDialog.jsx:290,BannerAuditDialog,banner-audit-close,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BannerStrip.jsx:174,BannerStrip,hub-banner-ack-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/BannerStrip.jsx:221,BannerStrip,hub-banner-dismiss-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CalculatorUsageCard.jsx:85,CalculatorUsageCard,calc-export-csv,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CloudArchivesPanel.jsx:121,CloudArchivesPanel,cloud-archives-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CloudArchivesPanel.jsx:142,CloudArchivesPanel,cloud-archive-run-now-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CloudArchivesPanel.jsx:198,CloudArchivesPanel,cloud-archives-refresh-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CloudArchivesPanel.jsx:213,CloudArchivesPanel,cloud-archives-hourly-status,CANONICAL_STATUS,status,Wave-2 status vocab (TC-0002)
frontend/src/components/CloudArchivesPanel.jsx:242,CloudArchivesPanel,cloud-archives-authoritative-meta,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CloudArchivesPanel.jsx:251,CloudArchivesPanel,cloud-archives-authoritative-status,CANONICAL_STATUS,status,Wave-2 status vocab (TC-0002)
frontend/src/components/CloudArchivesPanel.jsx:314,CloudArchivesPanel,cloud-archives-loading,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
