duplication_id,overlap_area,systems_involved,duplication_type,impact,evidence_source,confidence_level,recommended_disposition,notes
D01,Daily Report entry surfaces,"/daily/submit; /daily-report/v2",redirected_legacy_overlap,"High risk if a second field-entry truth is reopened",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D01,HIGH,CONSOLIDATE,"Preserve /daily/submit as canonical; legacy shell remains for test compatibility only"
D02,Staffing wrappers,"/pm/project-staffing; /admin/project-staffing; ProjectStaffingHub",shared_consumer_not_duplicate,"Low architectural risk; shared-core reuse is already proven",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D02,HIGH,REUSE,"Role shells are acceptable; the shared staffing core should remain singular"
D03,Project identity governance versus project identity authority,"project_identity_governance.py; jobs_master",governance_overlay_not_duplicate,"High risk if governance queue is mistaken for source authority",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D03,HIGH,REUSE,"Governance detects drift; it does not own project identity truth"
D04,Cost-code registry versus project assignment truth,"cost_code_registry; jobs_master.assigned_cost_codes",role_split_not_duplicate,"Very high risk if template and execution roles are collapsed",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D04,HIGH,REUSE,"Registry defines reusable codes; project rows define job execution truth"
D05,Project assignment truth versus ODS projection,"jobs_master.assigned_cost_codes; project_operational_config",derivative_projection,"High risk if derivative config becomes a write owner",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D05,HIGH,CONNECT,"Keep project_operational_config derivative only"
D06,Schedule workspace versus lookahead concept,"/pm/project-schedule; planning lifecycle; weekly rollover",embedded_capability,"Medium risk of greenfield lookahead rebuild despite existing capability",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D06,HIGH,EXTEND,"Lookahead already lives inside schedule/planning lifecycle and should be surfaced there"
D07,Monday review workspace versus Monday briefing docs,"oppc_execution.py; oppc_briefings.py",complementary_layers,"Medium risk if workspace and communication artifact are merged incorrectly",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D07,HIGH,REUSE,"Retain both layers with explicit owner boundaries"
D08,Daily Reports versus Safety Daily Report view,"daily_reports.py; safety_portal/daily_reports.py",projection_not_duplicate,"Medium risk if safety projection becomes a forked record system",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D08,HIGH,REUSE,"Safety should continue consuming the canonical Daily Report stream"
D09,OPPC recap versus ODS intelligence,"oppc_execution.py; ods_intelligence.py",partial_overlap,"High executive-summary semantic drift risk",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D09,MEDIUM,CONNECT,"Connect shared trust lines and prevent KPI meaning drift"
D10,ODS intelligence versus legacy operational-intelligence engine,"ods_intelligence.py; operational_intelligence/routes.py",parallel_intelligence_lanes,"High risk of fourth-lane creation and denominator drift",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D10,MEDIUM,CONSOLIDATE,"Reuse both selectively, but do not create another executive-digest framework"
D11,PM command center versus project health versus executive ops center,"pm_command_center.py; project_health.py; oppc_execution.py",parallel_read_models,"High risk of ungoverned executive/operator KPI divergence",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D11,MEDIUM,CONNECT,"Clarify audience, drill-down, and KPI hierarchy rather than replacing all three"
D12,Manual CSV fallback versus future provider integrations,"imports_exports.py; future Motive/MaintainX connectors",staged_capability,"Medium risk if manual bridge is discarded before provider connectors are trustworthy",WP18A_DUPLICATION_AND_REUSE_DECISION_REGISTER.csv:D12,HIGH,CONNECT,"Retain fallback while layering provider connectors later"
