artifact,scope,canonical_store,authoritative_owner,writer_gate,reader_surfaces,distinct_from,evidence,status
enterprise_work_types,enterprise,enterprise_work_type_registry,Admin Governance,Admin-authenticated governance actions only,/admin/governance/project-controls;/pm/project-controls;/pm/project-controls/budget,customer pay items; budget lines; operational ledger,backend/services/project_controls_authority.py; /app/test_reports/iteration_112.json,ACTIVE
customer_pay_items,project,project_pay_item_registry,Project Controls PM authority with governed review,PM-scoped approved action during import review/activation,/pm/project-controls;/pm/project-controls/budget;/admin/governance/project-controls/budget,enterprise work types; budget versions; budget lines,backend/services/project_controls_authority.py; backend/services/project_budget_authority.py,ACTIVE
budget_import_sessions,project,project_budget_import_sessions,PM-scoped import staging,PM upload only; no authority until review and activation,/pm/project-controls/budget;/admin/governance/project-controls/budget,active budget versions; accounting truth,backend/services/project_budget_authority.py:create_budget_import_session,ACTIVE
budget_import_rows,project,project_budget_import_rows,PM-scoped governed row review,PM review action required per row before activation,/pm/project-controls/budget;/admin/governance/project-controls/budget,active budget lines; actual costs,backend/services/project_budget_authority.py:review_budget_import_row,ACTIVE
budget_versions,project,project_budget_versions,PM project-budget activation authority,PM approval + activation only; no auto-activation,/pm/project-controls/budget;/admin/governance/project-controls/budget,commitments; actual costs; forecast engine; billing; collections,backend/services/project_budget_authority.py:activate_budget_import_session,ACTIVE
budget_lines,project,project_budget_lines,Activated budget-version writer only,PM-approved activation event only,/pm/project-controls/budget;/admin/governance/project-controls/budget,customer pay items; enterprise work types; operational work ledger; accounting,backend/services/project_budget_authority.py:_budget_line_doc,ACTIVE
budget_review_queue,system,project_budget_review_queue,Governed budget review process,Explicit rationale required; unresolved rows remain queued,/pm/project-controls/budget;/admin/governance/project-controls/budget,normalized final budget truth,backend/services/project_budget_authority.py:_upsert_review_item,ACTIVE
commitment_candidates,system,project_budget_commitment_candidates,PO Requests as commitment source of truth,Derived review-only linkage; no guessed budget binding,/pm/project-controls/budget;/admin/governance/project-controls/budget,budget lines; actual costs; ERP AP detail,backend/services/project_budget_authority.py:_sync_commitment_candidates_for_project,ACTIVE
actual_cost_candidates,system,project_budget_actual_cost_candidates,External accounting or governed receipt review,Derived review-only candidate queue; never booked as accounting truth,/pm/project-controls/budget;/admin/governance/project-controls/budget,budget lines; commitments; accounting ledger,backend/services/project_budget_authority.py:_sync_actual_cost_candidates_for_project,ACTIVE
distribution_audit,system,project_budget_distribution_audit,System export/distribution audit,Triggered by governed export actions,/pm/project-controls/budget;/admin/governance/project-controls/budget,budget authority itself; source data,backend/services/project_budget_authority.py:record_budget_distribution_event,ACTIVE
operational_work_links,project,project_controls_work_ledger,C2 operational ledger authority,Read-only reference from future-ready budget lines,/pm/project-controls;/pm/project-controls/budget;/admin/governance/project-controls,budget totals; accounting actual costs,WP-18C2 accepted foundation; PM overview authority_boundaries,REUSED
