decision_id,capability,current_architecture_assessment,enterprise_scalability_assessment,long_term_technical_debt_risk,recommended_disposition,avoids_future_rewrite,primary_evidence,operational_impact,implementation_risk,dependencies,alternatives_considered
D01,Project identity / jobs_master,"Canonical project root exists and is reused broadly.","Project scope is strong, but enterprise company/division hierarchy above project level was not proven.",Medium,Reuse,Yes,"backend/routes/project_health.py:103-118; WP18BR_EXECUTIVE_RATIFICATION_REPORT.md:41",Preserves one project root for downstream controls,Low,"Enterprise hierarchy above project level","Build a second project registry was rejected."
D02,Project team roster / project_team_assignments,"Canonical roster owner exists with audit and role rules.","Good project-level staffing owner, but not a proven multi-company labor hierarchy.",Medium,Reuse,Yes,"backend/routes/project_team_assignments.py:824-847,878-1160",Preserves single roster owner for assignment truth,Low,"Project identity; directory/user identity","Moving roster truth into PM/schedule lanes was rejected."
D03,Cost code registry,"Reusable global definition owner exists.","Strong reusable master for definitions, but enterprise estimating/ERP hierarchy was not proven.",Medium,Reuse,Yes,"backend/routes/cost_codes.py:324-352",Prevents duplicate cost-code masters,Low,"Admin governance; project assignment consumer layer","Replacing with a new parallel master was rejected."
D04,Project cost-code planning,"Project planning owner already exists on jobs_master.assigned_cost_codes.","Strong project foundation, but revision/lock history and enterprise approval hierarchy remain incomplete.",High,Extend,Yes if amended now,"backend/routes/cost_codes.py:363-466; backend/services/cost_codes/foundation.py:1018-1046",Anchors schedule/forecast/lookahead on one planning spine,Medium,"Registry; project identity; publish governance","Creating a new planning collection was rejected."
D05,Schedule engine,"Deterministic schedule engine is real and explainable.","Strong per-project engine; enterprise master-schedule authority and high-scale recompute are not proven.",High,Extend,Yes if enterprise bounds are fixed first,"backend/services/cost_codes/schedule_engine.py:211-540",Retains one schedule computation path,Medium,"Assigned cost codes; daily report actuals; forecast overrides","Rebuilding schedule from scratch was rejected."
D06,Lookahead / planning lifecycle,"Embedded lifecycle exists on jobs_master.oppc_planning_lifecycle.","Reusable, but under-labeled and not proven as a multi-company operating standard.",Medium,Extend,Yes,"backend/routes/cost_codes.py:760-811; backend/services/cost_codes/foundation.py:678-690,1040-1046",Supports rolling planning without second tool,Medium,"Schedule foundation; publish workflow","New standalone lookahead platform was rejected."
D07,Forecast history and overrides,"Forecast snapshots and overrides already exist on the schedule path.","Project-level governance exists; portfolio refresh cost is already bounded.",High,Extend,Yes if portfolio recompute is redesigned before growth,"backend/services/cost_codes/foundation.py:693-709,730-909; OPPC_PERFORMANCE_SCALABILITY_VALIDATION.md:16-27",Retains one forecast lineage instead of duplicate forecast stores,Medium,"Schedule engine; assignment spine; actuals quality","Parallel forecast engine was rejected."
D08,Monday review and Monday briefing,"Existing review and briefing chain is real.","Operationally reusable, but enterprise release hierarchy and scale posture are not fully proven.",Medium,Extend,Yes,"WP18BR_PROJECT_CONTROLS_CONSTITUTIONAL_RATIFICATION.md:20-21,73-75",Preserves operational cadence already in use,Medium,"Schedule; production; forecast; readiness truth","A new Monday-control plane was rejected."
D09,Daily production truth,"Daily Reports are a real source of field actuals.","Scales functionally, but enterprise production truth must be decomposed by fact family, not flattened into one owner.",High,Extend,Yes if decomposition happens first,"backend/routes/daily_reports.py:1-11,260-291; WP18BR_EXECUTIVE_RATIFICATION_REPORT.md:51-58",Protects production actuals from dashboard drift,Medium,"Cost-code actuals; crew hours; constraints; haul-cycle and payroll fact families","Replacing Daily Reports as the primary field actual source was rejected."
D10,Payroll variance labor reconciliation,"Existing governed weekly labor reconciliation exists.","Useful enterprise labor control component, but it is not a full labor hierarchy by itself.",Medium,Reuse,Yes,"backend/routes/payroll_variance.py:1-22,193-280",Keeps one weekly reconciliation lane for labor disputes,Low,"Daily report crew hours; HR processes","Creating a second labor reconciliation engine was rejected."
